Indicador;" ""A4 - DOMICÃLIOS COM ACESSO Ã€ INTERNET""";;;;;;;;;;;;;;;;;
DescriÃ§Ã£o do indicador;" """"";;;;;;;;;;;;;;;;;
Agrupamento; Resposta;2015; 2015-erro;2016; 2016-erro;2017; 2017-erro;2018; 2018-erro;2019; 2019-erro;2020; 2020-erro;2021; 2021-erro;2022; 2022-erro; 
A; Sim; 98.6; 1.2; 98.4; 1.1; 99.2; 1.1; 99.2; 0.8; 99.2; 0.8;100; -;100; -; 99.5; 1.7; 
B; Sim; 88.4; 2.2; 91.1; 1.2; 92.6; 1.3; 94.2;1; 94.9; 1.3; 98.6; 1.1; 98.1; 1.8; 96.7; 2.8; 
C; Sim; 55.6; 1.8; 60.3; 1.5; 68.9; 1.6; 76.4; 1.3; 80.4; 1.4; 90.7; 1.8; 88.8; 2.6; 86.9;4; 
DE; Sim;16; 1.4; 23.1; 1.7; 30.1; 2.3; 40.2; 2.1; 49.7; 2.2;64; 3.1; 61.1; 3.6; 59.9; 4.9; 
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fonte;" ""CGI.br/NIC.br, Centro Regional de Estudos para o Desenvolvimento da Sociedade da InformaÃ§Ã£o (Cetic.br), SÃ©rie histÃ³rica""";;;;;;;;;;;;;;;;;
